epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,596.382,0.62296,0.66789,1.05497,0.96583,0.89651,0.95552,0.82666,0.57939,0.5033,1.03944,0.000517059,0.000517059,0.000517059
56,607.123,0.62153,0.63834,1.06649,0.97635,0.89624,0.9487,0.85027,0.52025,0.49431,1.02303,0.00050606,0.00050606,0.00050606
57,618.315,0.61474,0.63894,1.04543,0.96809,0.88103,0.93768,0.82215,0.55853,0.5116,1.03798,0.000495062,0.000495062,0.000495062
58,629.048,0.57421,0.61478,1.02978,0.96166,0.88583,0.94401,0.83275,0.56171,0.50072,1.03128,0.000484063,0.000484063,0.000484063
59,639.82,0.58887,0.60199,1.02583,0.95054,0.89134,0.91976,0.81552,0.54937,0.53021,1.03858,0.000473064,0.000473064,0.000473064
60,650.571,0.57399,0.57722,1.02835,0.97189,0.87621,0.94858,0.83883,0.53542,0.48945,1.02947,0.000462065,0.000462065,0.000462065
61,661.223,0.58258,0.56516,1.03103,0.9667,0.90664,0.94117,0.83348,0.51855,0.45366,1.03248,0.000451066,0.000451066,0.000451066
62,671.783,0.57302,0.58348,1.02893,0.96602,0.91532,0.94763,0.85701,0.49439,0.44798,1.00617,0.000440067,0.000440067,0.000440067
63,682.5,0.56285,0.56531,1.01419,0.95066,0.91528,0.94734,0.83826,0.53078,0.47655,1.02108,0.000429068,0.000429068,0.000429068
64,693.159,0.55833,0.58488,1.0219,0.96166,0.91547,0.95009,0.85094,0.49338,0.43501,0.99042,0.000418069,0.000418069,0.000418069
65,703.94,0.57196,0.55869,1.01438,0.97031,0.91997,0.93728,0.84474,0.49577,0.45413,0.98242,0.00040707,0.00040707,0.00040707
66,715.056,0.55671,0.55754,1.02789,0.97664,0.90511,0.94186,0.83913,0.52165,0.46767,1.01236,0.000396071,0.000396071,0.000396071
67,725.545,0.59373,0.60282,1.03469,0.95628,0.90284,0.93513,0.82149,0.53116,0.50053,1.02629,0.000385073,0.000385073,0.000385073
68,736.794,0.51936,0.52424,1.0122,0.95821,0.90381,0.9395,0.84456,0.5067,0.50011,0.99408,0.000374074,0.000374074,0.000374074
69,747.455,0.56456,0.55681,1.0266,0.98238,0.88625,0.9515,0.85031,0.47728,0.45797,0.99129,0.000363075,0.000363075,0.000363075
70,757.905,0.53587,0.54143,1.0096,0.97782,0.89755,0.94692,0.85284,0.49615,0.45791,1.00514,0.000352076,0.000352076,0.000352076
71,768.427,0.52961,0.51852,0.99735,0.97441,0.89513,0.9474,0.85914,0.4781,0.45397,0.99229,0.000341077,0.000341077,0.000341077
